date,open,high,low,close,value
2016/12/26,896.91 ,913.18 ,896.90 ,907.61 ,14581389977 
2016/12/27,908.35 ,940.05 ,904.26 ,933.20 ,14994286713 
2016/12/28,934.83 ,975.92 ,934.83 ,975.92 ,15682769405 
2016/12/29,975.13 ,979.40 ,954.50 ,973.50 ,15645617392 
2016/12/30,972.53 ,972.53 ,934.83 ,961.24 ,15450507055 
2016/12/31,960.63 ,963.74 ,947.24 ,963.74 ,15492554222 
2017/1/1,963.66 ,1003.08 ,958.70 ,998.33 ,16050407461 
2017/1/2,998.62 ,1031.39 ,996.70 ,1021.75 ,16429024775 
2017/1/3,1021.60 ,1044.08 ,1021.60 ,1043.84 ,16786368910 
2017/1/4,1044.40 ,1159.42 ,1044.40 ,1154.73 ,18571869009 
2017/1/5,1156.73 ,1191.10 ,910.42 ,1013.38 ,16300254795 
2017/1/6,1014.24 ,1046.81 ,883.94 ,902.20 ,14513695758 
2017/1/7,903.49 ,908.59 ,823.56 ,908.59 ,14618030536 
2017/1/8,908.17 ,942.72 ,887.25 ,911.20 ,14661966429 
2017/1/9,913.24 ,913.69 ,879.81 ,902.83 ,14528815565 
2017/1/10,902.44 ,914.87 ,901.06 ,907.68 ,14608685049 
2017/1/11,908.11 ,919.45 ,762.77 ,777.76 ,12519135996 
2017/1/12,775.18 ,826.25 ,755.76 ,804.83 ,12956730411 
2017/1/13,803.74 ,829.00 ,780.00 ,823.98 ,13266554392 
2017/1/14,825.14 ,835.09 ,812.46 ,818.41 ,13178601992 
2017/1/15,818.14 ,823.31 ,812.87 ,821.80 ,13234840657 
2017/1/16,821.78 ,834.53 ,820.27 ,831.53 ,13393372620 
2017/1/17,830.95 ,910.56 ,830.80 ,907.94 ,14625779851 
2017/1/18,909.37 ,917.50 ,858.30 ,886.62 ,14284036613 
2017/1/19,888.34 ,904.61 ,884.34 ,899.07 ,14486616700 
2017/1/20,898.17 ,899.40 ,887.01 ,895.03 ,14423545371 
2017/1/21,895.55 ,927.37 ,895.53 ,921.79 ,14856911163 
2017/1/22,922.21 ,937.53 ,897.56 ,924.67 ,14905439337 
2017/1/23,925.50 ,928.27 ,916.74 ,921.01 ,14848013909 
2017/1/24,910.68 ,924.15 ,892.29 ,892.69 ,14393026385 
2017/1/25,891.92 ,903.25 ,891.69 ,901.54 ,14537488261 
2017/1/26,902.40 ,919.33 ,902.22 ,917.59 ,14797955301 
2017/1/27,918.36 ,923.22 ,915.85 ,919.75 ,14834831700 
2017/1/28,919.81 ,923.91 ,919.81 ,921.59 ,14866260449 
2017/1/29,922.07 ,923.42 ,919.15 ,919.50 ,14834377926 
2017/1/30,920.15 ,923.05 ,919.47 ,920.38 ,14850351605 
2017/1/31,920.96 ,972.02 ,920.96 ,970.40 ,15659186515 
2017/2/1,970.94 ,989.11 ,970.74 ,989.02 ,15962015276 
